id,review,label,confidence
1,Third time is the straw. My order was missing the main topping. Salami of all things! You would think I would learn. Unfortunately I order through the app and this is the store I am required to use. The manager was not interested at ALL in fixing the problem! It didn't show on their end so not their problem! Screw customer service! I say screw them. Cold day in hell  before I order from them again!,Complaint,0.98
2,It use to be good food I always order there. two large cheese pizza and the whole thing was burnt I didn't even call them because they don't care. This is the second time I won't be coming here anymore going to Antonio's pizza,Complaint,0.96
3,Please don't go and waste your money. They should be ashamed of themselves. It's bad enough the food is overpriced but it's horrible to boot. Everything was served cold and over salted. The lobster mac and cheese was dry  their lobster tails were huge oysters from the gulf - poor quality ingredients with no taste. Go somewhere else. This place is like a dying horse. Someone needs to put it down. Restaurant smelled like an old Vegas carpet to boot. Dirty. SMH IF I COULD GIVE ZERO STARS I WOULD. $800 wasted.,Complaint,0.99
4,I came in around 2:30pm on a Saturday and ordered the shrimp po-boy and their chargrilled oysters. The bread was stale and shrimp lacked flavor. Oysters were not great  pretty disappointing considering that's their thing. Service was very slow and the prices charged were not what was on their menu. Wouldn't recommend.,Complaint,0.97
5,"Service has gone to the bottom. This particular Chik-fil-a needs to on ""Restaurants on Edge"". I can't understand why the line is all the way in the street just to turn around and have the wrong order given to me. The last straw  for me  was not having yogurt parfaits at 8:30 in the morning. You know how your mom says if you don't have anything nice to say  don't say it?...sorry mom! Get it together! Some people actually depend on breakfast to carry them through lunch. How do you not have yogurt parfaits at 8:30? ""We were short staffed this morning."" All I could see was money being lost...where's the District Manager!!!! Help! How about bacon on my sandwich. I don't eat pork...wth? There is so much more to say...this is just MY beginning.",Complaint,0.95
6,Come eat here if you like underpaid and overworked staff with mediocre food. Foods edible and over priced; just go to Ruth Chris and get a filet or pay $40 for steak fajitas your call . Staff is miserable including the General manager. I highly suggest crab claws for your meat...welll here we are over a year later no such thing as claws just tails oh yea and after tax $4 a soda. Enjoy the friendly atmosphere. Oh yea and dont forget that service charge on to go orders; it goes to the owner and the managers get the tips for bagging it wow yet they expect the servers to take phone orders what a joke. My friend ate ceviche and literally started to turn blue and the ambulance had to take her away when the french market location was open. That says enough,Complaint,0.96
7,THEY ALWAYS GET THE ORDER WRONG!! At this point I am convinced they eat the food while cooking it. My dad ordered 15 wings and they came back with 13 wings. He also asked for large fries that he paid for and they gave him a small. Another time I ordered a cheesecake pie and it wasn't included at all in the order. This happens everytime we come to this BWW! We decided not to come back here ever again. I wouldn't recommend.,Complaint,0.98
8,Pad Thai is more like pad pudding. Noodles overcooked. Eating Thai used to be good. Now they don't care. Overpriced substandard food.,Complaint,0.94
9,It doesn't get worse than this. A $28.00 charcuterie platter that consisted of less than one ounce each if meat and cheese and just covered in al disgusting manner with stale bread and crackers. Horrible NYE celebration and the manager was obtuse. No decent cheg would have allowed that plate to leave his kitchen. We live less than a mile away and will NEVER RETURN. We encourage all Yelp users to avoid this place. If you can't get a charcuterie platter right  how bad must everything that needs to be cooked be.,Complaint,0.97
10,Ordered on Uber eats and only got part of my order. Called to say they forgot a half pound of burnt ends I was told no they combined them together. No we weighed them and it was only 8 ounces. Coleslaw had no flavor or seasoning. I was not impressed.,Complaint,0.95
11,"Went just recently on Sunday. Over rated and over priced. Had prime rib and shrimp cocktail but prime rib extremely cold and shrimp overly cooked mushy. Cannot Believe I paid all that money to get the most delicious out of all the food the Pho - hot and tasty broth even with the Ok wontons. Grand Buffet is no longer ""Grand"". Things have changed with the times. I understand due to times the price increase but quality should still be there but no longer the case.",Complaint,0.96
12,Got it on Uber eats. Forgot our drinks  food was totally bland  both the lasagne and the chicken parmigiana. Was cold   pasta was watery and the side salad was a joke.$60 + waste of money .,Complaint,0.97
13,Don't order delivery. Third time in a row they have got my order wrong. I'm not sure what is going on over there. Recently I ordered 3 different orders of wings and a burger & they sent me one order of wings in the wrong flavor & a burger with just meat and a bun.,Complaint,0.95
14,"I just paid $22 for this ""green curry with chicken"" didn't come with rice nor the vegetables described in the ad.",Complaint,0.94
15,So. I Googled best Mexican restaurants in Tucson and El Chinito Gordo came up. We looked at the menu online and thought we'd try it. Big mistake. The menu looks good and the young lady who served us was very sweet  but the food was awful. My husband had menudo and it was cold and not made with red chile sauce. The tripe was fatty  chewy and the hominy was straight out of the can uncooked. I had a chile relleno  which  was actually pretty good. However  I ordered beans and got rice. I had a Birria Gordita with it  and it was bland with very little meat. I ordered a house margarita  which was terrible. The chips and salsa were ok  we've had better. I feel bad  but this place was not good. Don't waste your money.,Complaint,0.96
16,"This bar is my usual spot with my friends but last night things took a turn for the worst. The DJ randomly said over the speaker ""there's way too many black people here!"" This stupid little bar is clearly racist and I'm disgusted. I will not be going back to that shit hole.",Complaint,0.98
17,Super disappointed I just ordered via Uber eats. It doesn't look like they added spirulina which I paid extra for and I asked for granola on the side and didn't get it which is basically my favorite part. Phone number on the receipt is invalid so can't even call to let them know.,Complaint,0.94
18,Absolutely horrible service!!!! Not rating anything you can kiss my ass! This is just to INFORM the people that this is the worst place to go too!!! please don't go here and waste your time and money. You would have to wait for an HOUR for the food. I noticed that the Dave and busters in New Orleans has a bunch of black people and I love people of all colors! But Dave and busters has the WORST STAFF/EMPLOYEES EVER,Complaint,0.97
19,I really wish I could give 0 stars. Whoever the hell Tyler is  you're a horrible shitty manager... To let me explain.. we made an order at this specific sonic location on 1/13/2022 The order contained exactly 25.09 dollars of food we ordered. (For whatever reason sonic thinks they can get away with selling shitty food for that price but my girlfriend loves it so here we are) My girlfriend asked for a #1 combo  Simple cheeseburger. No lettuce  pickle tomato  onion  We received a sandwich that wasn't even the sandwich we ordered. It was very small in size. And contained no sauce and only onion. No biggie so we called the store. Friendly little chap Tyler answered. This is about how the call went Tyler: hello this is (shitty food place) Me: hi can I please speak to the manager? Tyler: speaking Me: explains the burger problem. And not getting what I paid for cause 25$ is a lot to spend on food that isn't what you asked Tyler: it looks like you didn't ask for no onion Me: but we did? Absolute silence.... Not a single word from this guys horrible monotone voice. Tyler: is there anything else I can do for you? I just decided to hang up. Lesson learned. Fuck sonic and fuck Tyler :),Complaint,0.98
20,This establishment is violently racist. If you're African American or a person of color please spend your money somewhere else. This is not the place to be!!!,Complaint,0.97
21,"Don't book a room here!! Could not cancel a reservation because my flight was delayed in the air due to high wind and I could not use my phone because I was in the air till after midnight on the day of the reservation. The manager would not refund and was extremely rude and hung up on me because I said ""this is the way you treat your customers"" she referred to this as ""verbal abuse""",Complaint,0.96
22,This is our third time eating here. First time was really good. Had a crunchy chili relleno. Second time had the same again and it was eh ok. Last night we went and tried something different. I had the chicken fundido burrito. I asked the very nice waiter to add onions. The wife had a fajita burrito. My fundido chicken burrito had barely any flavor to it. Full of chicken with a few onions smothered in cheese and a white cheese sauce. Again with all that there was no flavor. Wife's fajita burrito was full of meat and veg but had a sweet taste to it Nothing like fajitas should taste. The waiter was a very nice young man who was very attentive. I'm doubting we will go back there again  which is sad because there aren't any good restaurants way out on this side of town.,Complaint,0.95
23,Tiffany Nathan is a skanky server here that will give her phone number to any hot guys that come in She's thirsty for cock. Tiffany Nathan loves giving her number out 813-402-6683. Call for a good time and you'll get some world famous buffalo wings to eat with the skank wad too! 813-402-6683. She loves all cock.,Complaint,0.92
24,First time at Ruth's Chris  VERY DISAPPOINTED!! Portions were very small  it was expensive  the service was slow  and the food was not as GREAT as advertised!!! Come ON!! I know things tough right now.,Complaint,0.96
25,"We walked in at 7:20  hours posted said till 8pm. They decided they were gunna close early  which is totally fine  BUT they didn't tell us when we got there. They waited till we sat down and started eating before the manager said that we needed to get out. They should've told us the minute we walked in  ""Hey we are closing early  all orders are to go only."" But they didn't and when my husband said  ""why didn't you tell us when we got in here."" The manager got really aggressive and raised his voice and said rudely  ""do you want to stay here another HOUR."" All in front of my 6 month old. All we wanted to do was finish our sandwiches. Won't be coming here again and don't recommend it. Blaze is right down the road and much better!",Complaint,0.97
26,Not good. Service was OK but the food abysmal. The best thing was the salad. Fried rice had no taste. The filet was basic. Veggies a no go. Just not good overall. Buyer beware. Pretty bad.,Complaint,0.94
